,Field1,lon,lat,locid,V1,V2,Shape_Length,Shape_Area,Location,State
0,54666.0,146.25,-43.0,54667.0,523.0,95.0,2.25000000089949,0.312500000212381,Cell 2,TAS1
1,54667.0,146.875,-43.0,54668.0,524.0,95.0,2.24999999910051,0.312499999762636,Cell 3,TAS1
2,54668.0,147.5,-43.0,54669.0,525.0,95.0,2.249999999100737,0.312499999762693,Cell 4,TAS1
3,55242.0,146.25,-42.5,55243.0,523.0,96.0,2.25000000089949,0.312500000212381,Cell 6,TAS1
4,55243.0,146.875,-42.5,55244.0,524.0,96.0,2.24999999910051,0.312499999762636,Cell 7,TAS1
5,55244.0,147.5,-42.5,55245.0,525.0,96.0,2.249999999100737,0.312499999762693,Cell 8,TAS1
6,55817.0,145.625,-42.0,55818.0,522.0,97.0,2.24999999910051,0.312499999762636,Cell 9,TAS1
7,55818.0,146.25,-42.0,55819.0,523.0,97.0,2.25000000089949,0.312500000212381,Cell 10,TAS1
8,55819.0,146.875,-42.0,55820.0,524.0,97.0,2.24999999910051,0.312499999762636,Cell 11,TAS1
9,55820.0,147.5,-42.0,55821.0,525.0,97.0,2.249999999100737,0.312499999762693,Cell 12,TAS1
10,56392.0,145.0,-41.5,56393.0,521.0,98.0,2.250000000899263,0.312500000212324,Cell 14,TAS1
11,56393.0,145.625,-41.5,56394.0,522.0,98.0,2.24999999910051,0.312499999762636,Cell 15,TAS1
12,56394.0,146.25,-41.5,56395.0,523.0,98.0,2.25000000089949,0.312500000212381,Cell 16,TAS1
13,56395.0,146.875,-41.5,56396.0,524.0,98.0,2.24999999910051,0.312499999762636,Cell 17,TAS1
14,56396.0,147.5,-41.5,56397.0,525.0,98.0,2.249999999100737,0.312499999762693,Cell 18,TAS1
15,56397.0,148.125,-41.5,56398.0,526.0,98.0,2.250000000899263,0.312500000212324,Cell 19,TAS1
16,56968.0,145.0,-41.0,56969.0,521.0,99.0,2.250000000899263,0.312500000212324,Cell 20,TAS1
17,56969.0,145.625,-41.0,56970.0,522.0,99.0,2.24999999910051,0.312499999762636,Cell 21,TAS1
18,56972.0,147.5,-41.0,56973.0,525.0,99.0,2.249999999100737,0.312499999762693,Cell 22,TAS1
19,56973.0,148.125,-41.0,56974.0,526.0,99.0,2.250000000899263,0.312500000212324,Cell 23,TAS1
