,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,QLD1,2021,2.909045824,96106699.66,60,0.649198863,6855.652174,-18.91850739,-12.16980657,-14.17329134,-14.30023685,62481682.4,-31593170.8,-558941.4077,-36828.02771,36344.28234,0,12945.71429,1428.699374,Pipeline,998.7901394,32129,-5832655.589,1576800,0,0,1,1,1,4.237790778,0,0.070793535,1.189793647,0.403364371,0,0.327058418,-2.589332136,2.909045824
1,QLD1,2021,5.301008795,96106699.66,60,1,5307.854802,-3.818052583,-2.881593718,-3.100356277,-3.44096097,7432475.696,0,1.14E-09,-7432.475696,18279.8405,19067.34176,16720.75021,79889.02264,Lined Rock,180.3010245,13812,-518816.684,1576800,5409.668893,1,1,1,1,2.131453272,1.154364784,0.7146013,1.530911406,0.202877479,0.143899903,0.41659821,-0.230321968,5.301008795
2,QLD1,2021,3.787441828,96106699.66,60,0.772174579,6590.035069,-13.81104248,-7.780221148,-9.040297313,-10.66116553,43546088.19,-20517970.65,-2406690.774,-26885.49602,16175.31716,32026.32899,13467.50258,9483.002202,Pipeline,991.9695419,38020,-3922107.715,1576800,0,24,1,1,1,1.886063102,1.938920843,0.46668376,1.236943199,0.17952058,0.241700479,0.339434676,-1.741169077,3.787441828
3,QLD1,2021,3.084522116,96106699.66,60,0.767413489,6969.695609,-19.13082549,-12.63472251,-14.43502221,-15.41821778,54250105.17,-20946754.77,-2308987.54,-37241.3403,28676.68418,15539.15576,12733.88671,1420.214945,Pipeline,998.7973243,37304,-5498540.756,1576800,0,720,1,1,1,3.34373882,0.940763239,0.070373629,1.170652598,0.318266092,0.117272928,0.322034096,-2.44100617,3.084522116
4,QLD1,2021,2.909045824,96106699.66,60,0.649198863,6855.652174,-18.27909704,-11.98344556,-13.64613927,-13.72397814,61236963.59,-31593170.8,-1803660.221,-35583.3089,36344.28234,0,12945.71429,1428.699374,Pipeline,998.7901394,32129,-5832655.589,1576800,0,8760,1,1,1,4.237790778,0,0.070793535,1.189793647,0.403364371,0,0.327058418,-2.589332136,2.909045824
5,TAS1,2021,2.656188038,14794259.34,60,0,8259.428571,37.5661476,14.36027117,5.807061233,6.853885714,0,-90060058.29,0,73128.76733,0,0,10745.45455,360,Pipeline,999.6951424,10904,3710792.775,1576800,349.0909091,0,1,1,1,0,0,0.017854537,0.990974964,0,0,0.274870624,1.647358538,2.656188038
6,TAS1,2021,4.598470003,79620482.48,60,1,5154.425213,3.94E-09,1.14E-09,5.57E-10,5.84E-10,-0.007677014,0,0.000195725,7.68E-06,19823.525,0,17218.46969,78338.1048,Lined Rock,182.9786913,1,0.000259119,1576800,20595.18287,1,1,1,1,2.3114489,0,0.711135039,1.575886065,0.220009949,0,0.428403581,1.15E-10,4.598470003
7,TAS1,2021,4.246713354,79620482.48,60,0.828277013,5853.071394,-5.147983274,-0.831542717,0.032915268,-0.54090122,22607258.03,-15499816,-608000.0406,-10021.40744,21517.91986,0,15163.20378,59864.76736,Lined Rock,225.3703316,19022,-724906.9282,1576800,22599.03314,24,1,1,1,2.509017553,0,0.669339635,1.390169236,0.238815067,0,0.379654884,-0.321813071,4.246713354
8,TAS1,2021,3.537534187,70482717.9,60,0.733622803,8259.428571,-16.02681549,-3.942303053,-1.630701023,-2.031107889,50678703.51,-23989945.84,-2403151.461,-31198.86749,26168.67359,0,10745.45455,398.1818182,Pipeline,999.6628091,23134,-1181450.847,1576800,398.1818182,720,1,1,1,3.051301511,0,0.019747561,0.990974964,0.290431119,0,0.274870624,-0.524489848,3.537534187
9,TAS1,2021,3.268374826,56826403.03,60,0.689566146,8277.026915,-2.700023582,0.252578486,0.059733827,-3.10E-13,27957690.99,-27957690.99,0,-5256.045906,19779.38191,0,10722.60791,360,Pipeline,999.6951424,17485,-100671.8726,1576800,360,8760,1,1,1,2.306301758,0,0.017854537,0.988910509,0.21952003,0,0.274328726,-0.044691978,3.268374826
10,SA1,2021,2.752125138,85699073.92,60,0.677040187,6693.394217,-20.90813359,-11.6918696,-9.019661072,-5.586161873,64318819.77,-29085779.61,-2279008.57,-40701.16673,31080.64032,0,13259.5379,1794.172949,Pipeline,998.4806467,27476,-4908229.016,1576800,0,0,1,1,1,3.624043245,0,0.088875582,1.218151207,0.344946224,0,0.334501977,-2.178944896,2.752125138
11,SA1,2021,4.648679215,85699073.92,60,1,5356.878892,-2.164372415,-1.21076174,-0.636675079,-0.668016178,4213311.635,0,8.49E-10,-4213.311635,19071.17512,8487.331923,16567.72835,67081.74888,Lined Rock,206.0279539,17257,-656905.3931,1576800,24556.63529,1,1,1,1,2.223723921,0.5138355,0.685660334,1.517084127,0.211660049,0.064053304,0.412968696,-0.291624667,4.648679215
12,SA1,2021,3.836438914,85699073.92,60,0.764240497,5482.532211,-5.097041691,-2.323477909,-2.764422837,-0.938674952,27206743.1,-21286332.44,-1266859.211,-9922.241158,21926.66813,3922.313599,16188.01511,51820.36529,Lined Rock,253.4649324,22401,-2460029.166,1576800,7357.769531,24,1,1,1,2.556678135,0.237462607,0.65162367,1.482772685,0.24335153,0.029601428,0.403962307,-1.092098184,3.836438914
13,SA1,2021,2.752125138,85699073.92,60,0.677040187,6693.394217,-18.465047,-10.60439254,-8.551505018,-4.8321228,59562944.53,-29085779.61,-7034883.809,-35945.29149,31080.64032,0,13259.5379,1794.172949,Pipeline,998.4806467,27476,-4908229.016,1576800,0,720,1,1,1,3.624043245,0,0.088875582,1.218151207,0.344946224,0,0.334501977,-2.178944896,2.752125138
14,SA1,2021,2.752125138,85699073.92,60,0.677040187,6693.394217,-18.38933831,-10.57438489,-8.537557282,-4.808755921,59415564.95,-29085779.61,-7182263.388,-35797.91191,31080.64032,0,13259.5379,1794.172949,Pipeline,998.4806467,27476,-4908229.016,1576800,0,8760,1,1,1,3.624043245,0,0.088875582,1.218151207,0.344946224,0,0.334501977,-2.178944896,2.752125138
15,NSW1,2021,3.630084625,17693364.73,60,0,7178.333333,37.5661476,35.81079415,40.15366864,38.83868571,0,-90060058.29,0,73128.76733,0,0,12363.77724,1086.101695,Pipeline,999.0802602,12547,5494117.587,1576800,0,0,1,1,1,0,0,0.053833098,1.137208966,0,0,0.313255498,2.439042562,3.630084625
16,NSW1,2021,5.81885163,103523530.4,60,1,4718.71528,-2.726961932,-1.901222186,-2.068746421,-2.289301375,5308485.894,0,4.78E-09,-5308.485894,21661.66973,15465.88165,18808.36393,107693.1061,Lined Rock,145.5236462,11897,-316046.8752,1576800,70366.36061,1,1,1,1,2.525778976,0.936327117,0.777499235,1.719551231,0.240410464,0.116719934,0.466114162,-0.140304929,5.81885163
17,NSW1,2021,4.985893312,103523530.4,60,0.770853943,5346.511506,-7.289067975,-2.891366721,-4.816489712,-4.441879898,30988499.64,-20688564.01,-736540.1885,-14189.38566,27808.76452,5995.123672,16599.85472,107943.9659,Lined Rock,145.2868223,28887,-2067021.975,1576800,66077.40049,24,1,1,1,3.242538255,0.362953564,0.778042095,1.519987113,0.308633548,0.045244782,0.413730699,-0.917627716,4.985893312
18,NSW1,2021,4.415255386,98025188.62,60,0.646812796,6982.456789,-9.82319013,-3.591905729,-5.801088641,-5.664048154,44987910.34,-31853982.2,-1154686.83,-19122.47679,31551.32119,0,12710.61418,67863.17914,Lined Rock,204.14577,27892,-2521821.724,1576800,0,720,1,1,1,3.678925249,0,0.68731067,1.168549659,0.350170041,0,0.321482097,-1.119530192,4.415255386
19,NSW1,2021,3.858268969,75413713.89,60,0.608102205,7236.521739,-3.408562801,1.301852105,0.256711144,-1.38E-13,35294338.22,-35294338.22,0,-6635.335585,27197.06465,0,12264.3609,1102.749989,Pipeline,999.066162,24043,-1116886.521,1576800,0,8760,1,1,1,3.171213252,0,0.054657506,1.128225561,0.301844642,0,0.310897449,-0.495827349,3.858268969
20,VIC1,2021,2.967955506,18616246.91,60,0,6909.295775,37.5661476,31.27172196,43.49811819,45.12141429,0,-90060058.29,0,73128.76733,0,0,12845.20408,1362.857143,Pipeline,998.8458964,13035,3873768.155,1576800,0,0,1,1,1,0,0,0.067534754,1.180711398,0,0,0.324674425,1.719709354,2.967955506
21,VIC1,2021,5.70775416,99640834.32,60,1,4833.100167,-2.447192061,-1.308038161,-2.000056522,-2.386767566,4763867.212,0,1.62E-09,-4763.867212,21147.0276,13574.11709,18363.22675,103957.9022,Lined Rock,149.1216224,10442,-63591.9501,1576800,87246.64151,1,1,1,1,2.465771032,0.821796921,0.769089048,1.679327985,0.234698746,0.102442918,0.455555987,-0.028230825,5.70775416
22,VIC1,2021,5.178601399,99640834.32,60,0.786026145,4890.653183,-6.441538942,-0.50629527,-3.430133063,-4.461718111,28236032.06,-19330668.62,-1958184.473,-12539.52914,25244.41216,7572.371945,18147.12902,59832.53886,Lined Rock,225.4663024,26246,-1244405.495,1576800,46425.58454,24,1,1,1,2.943531421,0.458442483,0.669264168,1.659801078,0.28017327,0.057148165,0.450430381,-0.552437751,5.178601399
23,VIC1,2021,4.631016922,92293608.75,60,0.695388684,6817.840922,-13.15031404,-5.77668824,-7.490623717,-10.24165018,47875128.06,-27433312.88,-12396435.82,-25599.27801,34292.44679,0,13017.51028,1883.875214,Pipeline,998.4046844,30315,-1480210.492,1576800,0,720,1,1,1,3.998544074,0,0.093311945,1.196281238,0.380592224,0,0.328761342,-0.657120335,4.631016922
24,VIC1,2021,4.134080282,71974834.33,60,0.633268754,6957.293263,-3.18967471,1.795876168,2.433565011,-8.82E-13,33027837.42,-33027837.42,0,-6209.233436,25129.55446,0,12756.58664,1400.060902,Pipeline,998.8143912,22215,-85909.76823,1576800,0,8760,1,1,1,2.930138864,0,0.069376154,1.172703797,0.278898531,0,0.322572514,-0.038138532,4.134080282
