,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,2021,3.4104915879562863,95985504.19685587,60,0.6184754764166298,6928.220596000176,-10.033827763848192,-5.0332457003822295,-6.18967349240594,-6.050345902304335,47450507.24462458,-34381760.095647566,-1279375.4347057655,-19532.51804695875,31246.642565954666,0.0,12810.11668954975,31183.673469387755,Lined Rock,395.476415379279,27623.0,-4678774.9460798,1576800.000000076,0.0,0,0,1,24
1,QLD1,2021,2.9047048860207667,95985504.19685587,60,0.6497344683720344,6770.165897475085,-19.527489430514873,-12.439626306348629,-14.715390371399819,-14.852457105541982,63635591.44424109,-31554284.09627102,0.0,-38013.512758069024,36541.85980360423,0.0,13109.17865673164,1298.3686095359194,Pipeline,516.0,32304.0,-5966454.504427859,1576800.000000003,0.0,0,0,1,24
2,TAS1,2021,3.2129677214853407,27631532.087822117,60,0.0,7790.838857364241,37.58187677206931,14.471252353020201,5.884337140060383,6.856755477479885,0.0,-90097766.97408645,0.0,73159.3867829582,0.0,0.0,11391.753302897037,31183.673469387755,Lined Rock,395.476415379279,11643.0,3371959.7933783922,1576799.9999999271,474.56043328602567,0,0,1,24
3,TAS1,2021,2.693389205176882,15046111.168831171,60,-1.8599150496294988e-17,8030.000000001382,37.57135284359354,14.389913823097414,5.901100481019331,6.854835402955597,1.6752726748693799e-09,-90072537.19480896,0.0,73138.90020218489,0.0,0.0,11052.467532467534,392.7272727272739,Pipeline,516.0,11296.0,3626151.306353625,1576799.999999773,392.7272727272739,0,0,1,24
4,SA1,2021,3.1746398241154847,85603661.00080085,60,0.6268321995230239,6102.239290412913,-8.426033866304403,-3.36185749824257,-5.711892244265435,-1.597725507809802,43723477.17860701,-33646302.85574965,-3479701.98159609,-16402.67925973829,25269.719477047514,0.0,14544.056708026963,31183.673469387755,Lined Rock,395.476415379279,22339.0,-3993070.2913107728,1576799.999999909,1061.8481552793683,0,0,1,24
5,SA1,2021,2.730279787457323,85603661.00080085,60,0.6693326179060439,6378.038893109716,-21.861932204563985,-12.04351894225057,-9.723104525583363,-5.85936518692877,66752499.72697342,-29796311.619982336,0.0,-42557.894691547765,30957.28934054945,0.0,13915.141593381486,2096.616917203592,Pipeline,516.0,27367.0,-5102610.224348187,1576799.999999872,0.0,0,0,1,24
6,NSW1,2021,4.081021906502099,29225638.322048236,60,0.0,7160.337671050113,37.58702424535488,36.36836196412856,40.163813754847865,38.860269547587876,0.0,-90110107.3862282,0.0,73169.40719761731,0.0,0.0,12394.850405525147,38367.34693877551,Lined Rock,327.86614741700544,12668.0,5095574.519255761,1576799.9999998524,0.0,0,0,1,24
7,NSW1,2021,3.637865793537217,17514001.335807048,60,0.0,7026.250000000699,37.57657727700606,35.92574381426642,40.09874528038373,38.84946869240271,0.0,-90085062.10908441,0.0,73149.07043257655,0.0,0.0,12631.39146567718,1065.9740259740247,Pipeline,516.0,12910.0,5393499.850296831,1576800.0000001027,0.0,0,0,1,24
8,VIC1,2021,3.3959823998344976,31160127.817438066,60,2.7902612776991305e-17,6370.421690451968,37.59686830508731,32.1536955183801,43.535827272297944,45.15831350882718,0.0,-90133707.26672052,2.51496593201799e-09,73188.57030057706,0.0,0.0,13931.780123556211,34786.40766629814,Lined Rock,357.8911404399964,14239.0,3254174.190394616,1576800.000000153,204.82915325354497,0,0,1,24
9,VIC1,2021,2.9614849283421596,18885051.428571425,60,0.0,6570.000000000017,37.579979741915245,31.574703363326837,43.46083346004011,45.1380283344188,0.0,-90093219.08570813,0.0,73155.693897595,0.0,0.0,13508.571428571428,1440.0,Pipeline,516.0,13807.0,3669818.9529959015,1576800.0,0.0,0,0,1,24
