,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,2021,2.51638082,47471582.07,60,0.664284488,6265.613465,2.19E-12,2.745508936,2.030645982,2.634489653,19912818.07,-24523174.96,-3993948.371,3.46E-09,21664.96204,0,11476.13085,41647.61364,19151.83118,-2127631.958,1277500,0,0,0,0,24
1,TAS1,2021,2.852359103,35099007.23,60,0.760266582,7090.305496,6.93E-13,1.047208785,-0.012878929,0.309112512,14213283.78,-17504044.06,0,1.09E-09,15313.05719,0,10141.31197,22798.21441,9907.532174,204908.5567,1277500,2095.241395,0,0,0,24
2,SA1,2021,2.219769023,40006261.09,60,0.686530349,6119.724473,-4.02E-14,1.958848033,-2.115023364,0.842730017,18599768.7,-22906119.09,-3467956.593,-6.33E-11,17598.6196,0,11749.71199,35036.92995,15557.18358,-1724331.658,1277500,3381.515249,0,0,0,24
3,NSW1,2021,3.173100737,44160765.62,60,0.658326839,6641.512121,1.66E-12,3.873621057,2.459166673,2.4968345,20260022.93,-24950767.16,-1020457.601,2.62E-09,20944.37193,0,10826.60073,49587.37697,18514.82937,-435460.6659,1277500,0,0,0,0,24
4,VIC1,2021,3.358040188,42740317.64,60,0.706539775,5976.213986,1.16E-12,4.508241909,4.201066285,2.492054826,17405623.7,-21435497.17,0,1.82E-09,19257.07467,0,12031.86502,41653.50131,12209.28922,61854.16334,1277500,2790.892013,0,0,0,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
