,Hour,MEF,AEF,Prices
0,0,0.6863139529481943,0.7437133530383562,0.06139644809464508
1,1,0.7187952925433292,0.7465222987397261,0.05429091967351598
2,2,0.7560605979364591,0.7476277969917808,0.04823548144520548
3,3,0.7782703445565172,0.7480488452164383,0.046880115787671234
4,4,0.7463926668763028,0.748917113,0.050623574331050226
5,5,0.7166747913515014,0.7479541237726026,0.06565888107534247
6,6,0.616178004054839,0.7293312567835617,0.08605005623059361
7,7,0.5740833814334786,0.6887243921424657,0.10544537333561643
8,8,0.5668200784837277,0.6603555343479451,0.046907447139269406
9,9,0.5666746903126733,0.6454322717835617,0.05166858090867579
10,10,0.5647414756495185,0.6429962373150685,0.04145704853881279
11,11,0.5431619561959029,0.6464037195589041,0.03508920712328767
12,12,0.5486387161255916,0.6497181238164383,0.03648174765525114
13,13,0.5845743582659776,0.6512563781506849,0.050402886513698626
14,14,0.6181659017082455,0.6544277773260274,0.05757747320319635
15,15,0.6595573684014404,0.6624369085917808,0.07924948865981735
16,16,0.5638914873278982,0.6851182707808219,0.13136157632648401
17,17,0.5306592842505065,0.7089246345753425,0.2881692951712329
18,18,0.5229666324318929,0.7185112328739726,0.33754548454566213
19,19,0.5676288691830386,0.7200573866520548,0.1328773807328767
20,20,0.5770272750785596,0.7238192828301371,0.10766834510045663
21,21,0.5942230606805936,0.728402796169863,0.08437947118721462
22,22,0.6475053382985263,0.7338523263589041,0.07981857494063926
23,23,0.673438095453134,0.7401861269479453,0.061193104956621
