,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio,Maximum_power_integration
0,QLD1,2021,4.206042687244596,54582215.406491585,60,1.0,5079.237066805195,-0.0,0.0,0.0,-0.0,0.0,0.0,-4225989.293056857,-0.0,16518.313664326783,12081.171701484236,14602.193011371366,79501.56356209058,0.0,0.0,1277500.0,5041.1096069336145,0,0,0,24,-1,0.0
1,QLD1,2021,3.8135675594856444,49446857.3514745,60,0.8930531571414809,5127.307404945476,3.275462666595392,3.445336537308125,3.6575163728794653,3.804087202110662,1274880.8374365298,-7932033.44112875,-1754604.3822414041,5165.930316760016,16363.448574204553,7591.066349580914,14465.292236713487,82495.50617723852,1446.5292236713487,-51601.839970316854,1277500.0,4351.34537243221,0,0,0,24,-1,0.1
2,QLD1,2021,3.4887733058177397,45496089.381517395,60,0.8011281083909132,5259.408650209789,6.210754696671959,6.540055419415016,6.874483588176475,7.1819107830478375,2181586.5865291134,-14749930.456861595,-788404.2971824764,9795.356944442503,15952.44572631086,4721.3678392526745,14101.965626314512,84974.1177187308,2820.3931252629022,-123375.52280870086,1277500.0,2965.6114275393606,0,0,0,24,-1,0.2
3,QLD1,2021,3.241336615578248,43065235.97653927,60,0.7455550966053807,5678.4236195425165,7.830749574933681,8.332602485618178,8.687732529459948,9.084698714568884,2973446.8444761024,-18871669.594969623,-856208.9992985353,12350.348866639233,14775.303264838498,5072.547009060324,13061.371424412315,75219.93873409474,3918.4114273236946,-226976.31476840572,1277500.0000000002,973.864375937264,0,0,0,24,-1,0.30000000000000004
4,QLD1,2021,3.074546375019097,41240476.02861224,60,0.7028134584068342,5995.480545422792,9.091567556896583,9.708194254412975,10.087706840343131,10.56154667661363,3559024.7328098114,-22041731.416881546,-871164.4698406896,14338.861177698005,13993.946008049728,5094.855749168547,12370.651432873135,67543.8601129441,4948.260573149254,-271985.6842784205,1277499.9999999998,121.24829434516543,0,0,0,24,-1,0.4
5,QLD1,2021,2.954388861340513,40010453.9556395,60,0.6723890207686855,6282.292014189593,9.95244219003726,10.658918334909874,11.062444220335854,11.579811341405843,4033581.260169669,-24298251.107629422,-926631.2955599453,15696.598639225424,13355.06704487075,5308.372876042914,11805.882285076204,62700.39083519007,5902.941142538102,-312148.39938034397,1277499.9999999993,0.0,0,0,0,24,-1,0.5
6,QLD1,2021,2.8698814036607816,38520543.66234172,60,0.6375888781638541,6381.931334300401,11.126737860526758,11.839853642876363,12.313722812360055,12.915406456371084,4277346.78569096,-26879308.084340774,-728518.3008868997,17548.65137879375,13146.558095044677,4349.789688415707,11621.560326319965,58198.34497940228,6972.936195791979,-265140.60522064794,1277500.0000000005,0.0,0,0,0,24,-1,0.6000000000000001
7,QLD1,2021,2.8035972585732964,37142717.04757941,60,0.6059849044293397,6410.533604383723,12.225244675450822,12.875515798507429,13.456438956381788,14.157231721056101,4448156.09643505,-29223311.608284414,-507915.81067146413,19281.17292949189,13087.901292272132,3203.800531382747,11569.707699416263,51116.78426252731,8098.795389591386,-204509.28846231193,1277500.0000000007,0.0,0,0,0,24,-1,0.7000000000000001
8,QLD1,2021,2.748811598034594,35787629.72876746,60,0.5749562068332609,6380.88657567648,13.373629469588053,13.917991398909626,14.62260155150005,15.439425081265156,4505654.159374838,-31524648.051590834,-269390.2530038666,21092.360058516922,13148.710614099607,1803.3542966154835,11623.463153650857,44625.441701254786,9298.770522920686,-129031.14541842458,1277499.999999998,0.0,0,0,0,24,-1,0.8
9,QLD1,2021,2.7028372369371225,34487142.782302186,60,0.5437754790145521,6330.645193377471,14.567593873442103,15.005085914323516,15.812814361000326,16.763907702017935,4500421.793915053,-33837260.27244638,-39388.15869075432,22975.43354731141,13253.061652031058,292.8526912876383,11715.709494759074,41911.03378604437,10544.138545283166,-44417.33836655868,1277499.999999997,0.0,0,0,0,24,-1,0.9
10,QLD1,2021,2.670109961696864,34412209.0035891,60,0.5356092948057226,6316.711066689099,14.764539267943793,15.223383963177287,16.012923867610397,17.006467914089136,4681610.9731920725,-34442929.82284841,-1.255102688446641e-09,23286.048042960836,13282.296777417903,0.0,11741.553352206354,41805.718915622405,11741.553352206354,-94689.69505737998,1277500.0000000056,0.0,0,0,0,24,-1,1.0
11,QLD1,2021,2.665152295913232,36283436.78035781,60,0.5592443477901037,6358.373146623025,13.002977671048518,13.723282332184867,14.302784273000041,15.230569225689885,6036469.068141374,-32689965.21309828,-1012782.0666639055,20507.78268489443,14514.793646310116,0.0,11664.618966158485,41304.98609034314,12831.080862774334,-352194.6934992204,1277500.0000000007,0.0,0,0,0,24,-1,1.1
12,QLD1,2021,2.664515719833766,38070940.13106485,60,0.5792977657220902,6410.170219565465,11.353661816158684,12.344164232077686,12.718218891470283,13.584367896777254,7429999.492558499,-31202643.311918695,-2115731.2911721026,17906.546876719483,15706.371875533738,0.0,11570.363572191849,40798.612469245025,13884.43628663022,-589613.5718542929,1277500.0000000056,0.0,0,0,0,24,-1,1.2000000000000002
13,QLD1,2021,2.6668457406062434,39796433.681067795,60,0.5961493125712822,6469.093551844977,9.793023029480096,11.061283262371614,11.237622824070591,12.04359715477436,8876502.764355376,-29952797.78521061,-3277154.678249884,15445.16903723564,16860.25398834256,0.0,11464.975642352654,40851.7851475101,14904.468335058453,-812489.990464761,1277500.0000000047,0.0,0,0,0,24,-1,1.3
14,QLD1,2021,2.6716801329121185,41462686.354810596,60,0.6105881387753199,6533.44868700351,8.310146377735245,9.862183986641181,9.846626052313056,10.592132321409828,10345667.360840926,-28881898.923307803,-4475207.644093419,13106.43456488501,17978.346366538695,0.0,11352.044464287752,41232.57640720945,15892.862250002854,-1022279.5155725231,1277500.00000001,0.0,0,0,0,24,-1,1.4000000000000001
15,QLD1,2021,2.6789289115200328,43137315.1599424,60,0.6238984727174858,6591.321604533997,6.8523400248075506,8.691933143922324,8.481535126721871,9.172253266051452,11843254.859904882,-27894698.07549516,-5718328.93812494,10807.239977397192,19093.385836439636,0.0,11252.371595549652,41561.8278315949,16878.557393324478,-1229103.6170494987,1277500.0000000116,0.0,0,0,0,24,-1,1.5
