,Black coal,Brown coal,Coal seam methane,Hydro,Natural Gas (Pipeline),Solar,Wind
0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
1,8.0,0.0,0.0,2.0,2.0,0.0,0.0
2,12.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11.0,0.0,0.0,1.0,0.0,0.0,0.0
4,10.0,0.0,0.0,2.0,0.0,0.0,0.0
5,8.0,0.0,3.0,1.0,0.0,0.0,0.0
6,8.0,0.0,4.0,0.0,0.0,0.0,0.0
7,9.0,0.0,1.0,2.0,0.0,0.0,0.0
8,5.0,0.0,2.0,5.0,0.0,0.0,0.0
9,7.0,1.0,4.0,0.0,0.0,0.0,0.0
10,6.0,0.0,1.0,2.0,0.0,0.0,1.0
11,6.0,0.0,5.0,0.0,1.0,0.0,0.0
12,12.0,0.0,0.0,0.0,0.0,0.0,0.0
13,10.0,0.0,0.0,0.0,2.0,0.0,0.0
14,7.0,1.0,1.0,0.0,2.0,1.0,0.0
15,9.0,0.0,2.0,1.0,0.0,0.0,0.0
16,6.0,1.0,2.0,3.0,0.0,0.0,0.0
17,4.0,0.0,0.0,8.0,0.0,0.0,0.0
18,3.0,0.0,2.0,7.0,0.0,0.0,0.0
19,9.0,0.0,1.0,1.0,1.0,0.0,0.0
20,6.0,0.0,1.0,2.0,3.0,0.0,0.0
21,8.0,0.0,3.0,1.0,0.0,0.0,0.0
22,6.0,0.0,6.0,0.0,0.0,0.0,0.0
23,8.0,0.0,2.0,1.0,1.0,0.0,0.0
