,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio
0,TAS1,2021,2.622456943,16378581.34,60,0,5150.555556,38.185344,15.41590484,0.042568111,6.966857143,0,-74168000,0,60224.416,0,0,14400,57405.51181,14401,2137514.63,1277500,0,0,0,0,24,-1
1,TAS1,2021,2.638525067,18686469.29,60,0.095346695,5150.555556,34.32540986,14.00604517,0.037393237,6.270132889,345536.6008,-67096326.31,0,54136.68037,1629,0,14400,53877.36629,14401,1853830.07,1277500,0,0,0.1,0,24,-1
2,TAS1,2021,2.656321263,20974826.55,60,0.190576727,5150.555556,30.46444431,12.48499097,0.031487858,5.573408635,699725.8852,-60033305.31,0,48047.31803,3258,0,14400,49243.29254,14401,1575711.309,1277500,0,0,0.2,0,24,-1
3,TAS1,2021,2.67614351,23290369.86,60,0.285166901,5150.555556,26.59782181,10.95682763,0.025464869,4.876684381,1101372.155,-53017741.3,0,41949.03378,4887,0,14400,46148.6329,14401,1298280.335,1277500,0,0,0.3,0,24,-1
4,TAS1,2021,2.69877213,25610775.78,60,0.378812524,5150.555556,22.72284859,9.381899874,0.020608449,4.179960127,1573073.842,-46072232.7,0,35837.57911,6516,0,14400,43329.31946,14401,1025624.448,1277500,2439.282903,0,0.4,0,24,-1
5,TAS1,2021,2.724929861,27933873.71,60,0.471142586,5150.555556,18.83624457,7.772828025,0.015010238,3.483235873,2142348.104,-39224296.67,0,29707.78079,8145,0,14400,40662.4413,14401,759372.3607,1277500,5091.030756,0,0.5,0,24,-1
6,TAS1,2021,2.754818447,30286714.81,60,0.563194857,5150.555556,14.94718462,6.167403719,0.00976351,2.78651162,2732225.574,-32396963.86,0,23574.10908,9774,0,14400,39679.77389,14401,496755.0656,1277500,12030.89659,0,0.6,0,24,-1
7,TAS1,2021,2.789024148,32605696.13,60,0.653448573,5150.555556,11.04222375,4.740695506,0.004898836,2.089787366,3455498.254,-25703026.25,0,17415.35906,11403,0,14400,36779.79214,14401,246301.9102,1277500,13143.89448,0,0.7,0,24,-1
8,TAS1,2021,2.829010058,34947109.69,60,0.741403163,5150.555556,7.116936443,3.263439227,-0.000686711,1.393063112,4349292.475,-19179610.19,0,11224.551,13032,0,14400,35150.03912,14401,4236.586242,1277500,14524.06893,0,0.8,0,24,-1
9,TAS1,2021,2.878336469,37263965.16,60,0.82005832,5150.555556,3.109433388,1.65156282,-0.006267447,0.696338858,5932807.074,-13345914.5,0,4904.075498,14661,0,14400,32129.68061,14401,-217186.8884,1277500,11579.97703,0,0.9,0,24,-1
10,TAS1,2021,2.943254132,39664509.24,60,0.881408149,5150.555556,-1.050647137,0.108923867,-0.013041746,-0.000323481,8799164.128,-8795720.406,-659.1405122,-1657.039158,16290,0,14400,33848.20164,14401,-418687.3688,1277500,8584.248425,0,1,0,24,-1
11,TAS1,2021,3.053348953,42042267.66,60,0.900313113,5150.555556,-3.840027985,-0.761137843,-0.01769416,-0.438326226,12059925,-7393577.053,-2754965.202,-6056.340432,17919,0,14400,34276.48127,15841,-531538.4086,1277500,7597.829932,0,1.1,0,24,-1
12,TAS1,2021,3.167006356,44423196.62,60,0.916375639,5150.555556,-6.529774004,-1.674771961,-0.023862219,-0.857845319,15334729.87,-6202251.574,-5706045.137,-10298.50159,19548,0,14400,34884.29352,17281,-637977.7166,1277500,6755.576301,0,1.2,0,24,-1
13,TAS1,2021,3.283170336,46811993.7,60,0.931158682,5150.555556,-9.137987998,-2.579760161,-0.028928831,-1.263609765,18558001.86,-5105822.9,-8803554.763,-14412.07366,21177,0,14400,35937.63898,18721,-740562.9089,1277500,6579.015014,0,1.3,0,24,-1
14,TAS1,2021,3.401190482,49211414.45,60,0.941881885,5150.555556,-11.70672597,-3.299422045,-0.03370376,-1.658208459,21963515.22,-4310504.326,-12019933.12,-18463.3857,22806,0,14400,37592.55072,20161,-840853.2052,1277500,5953.431526,0,1.4,0,24,-1
